No,Attributes
678,-1:word.lower():panjang
679,word.lower():flip
680,word[-3:]:lip
681,word[-2:]:ip
682,word[:3]:Fli
683,+1:word.lower():cover
684,word.lower():cover
685,word[-3:]:ver
686,word[:3]:Cov
687,word[:2]:Co
688,-1:word.lower():flip
689,+1:word.lower():case
690,word.lower():case
691,word[-3:]:ase
692,word[:3]:Cas
693,-1:word.lower():cover
694,+1:word.lower():casing
695,word.lower():casing
696,-1:word.lower():case
697,+1:word.lower():sarung
698,word.lower():sarung
699,word[:3]:Sar
700,word[:2]:Sa
701,-1:word.lower():casing
702,+1:word.lower():hardcase
703,word.lower():hardcase
704,word[:3]:Har
705,-1:word.lower():sarung
706,word.lower():soa
707,word[-3:]:SOA
708,word[-2:]:OA
709,word[:3]:SOA
710,word[:2]:SO
711,+1:word.lower():babt
712,word.lower():babt
713,word[-3:]:abt
714,word[-2:]:bt
715,word[:3]:Bab
716,word[:2]:Ba
717,-1:word.lower():soa
718,+1:word.lower():celana
719,word.lower():celana
720,word[-3:]:ana
721,word[-2:]:na
722,word[:3]:Cel
723,word[:2]:Ce
724,-1:word.lower():babt
725,+1:postag:VB
726,+1:postag[:2]:VB
727,word[:3]:pan
728,word[:2]:pa
729,postag:VB
730,postag[:2]:VB
731,-1:word.lower():celana
732,+1:word.lower():newborn
733,word.lower():newborn
734,word[-3:]:orn
735,word[-2:]:rn
736,word[:3]:new
737,word[:2]:ne
738,-1:postag:VB
739,-1:postag[:2]:VB
740,+1:word.lower():buka
741,word.lower():buka
742,word[-3:]:uka
743,word[-2:]:ka
744,word[:3]:buk
745,word[:2]:bu
746,-1:word.lower():newborn
747,+1:word.lower():kaki
748,word.lower():kaki
749,word[-3:]:aki
750,word[-2:]:ki
751,word[:3]:kak
752,word[:2]:ka
753,-1:word.lower():buka
754,word.lower():bell
755,word[-3:]:ELL
756,word[-2:]:LL
757,word[:3]:BEL
758,word[:2]:BE
759,+1:word.lower():bsx
760,word.lower():bsx
761,word[-3:]:BSX
762,word[-2:]:SX
763,word[:3]:BSX
764,word[:2]:BS
765,-1:word.lower():bell
766,+1:word.lower():a2
767,word.lower():a2
768,word[-3:]:A2
769,word[-2:]:A2
770,word[:3]:A2
771,word[:2]:A2
772,-1:word.lower():bsx
773,+1:word.lower():kit
774,word.lower():kit
775,word[-3:]:KIT
776,word[-2:]:IT
777,word[:3]:KIT
778,word[:2]:KI
779,-1:word.lower():a2
780,+1:word.lower():pre
781,word.lower():pre
782,word[-3:]:Pre
783,word[:3]:Pre
784,word[:2]:Pr
785,-1:word.lower():kit
786,+1:word.lower():amp
787,word.lower():amp
788,word[-3:]:amp
789,word[-2:]:mp
790,word[:3]:amp
791,word[:2]:am
792,-1:word.lower():pre
793,+1:word.lower():echo
794,word.lower():echo
795,word[-3:]:cho
796,word[-2:]:ho
797,word[:3]:Ech
798,word[:2]:Ec
799,-1:word.lower():amp
800,+1:word.lower():mic
801,word.lower():mic
802,word[-3:]:Mic
803,word[:3]:Mic
804,-1:word.lower():echo
805,+1:word.lower():repeater
806,word.lower():repeater
807,word[-3:]:ter
808,word[:3]:Rep
809,word[:2]:Re
810,-1:word.lower():mic
811,+1:word.lower():kalaideng
812,word.lower():kalaideng
813,word[-3:]:eng
814,+1:word.lower():swift
815,word.lower():swift
816,word[-3:]:ift
817,word[-2:]:ft
818,word[:3]:Swi
819,word[:2]:Sw
820,-1:word.lower():kalaideng
