,target,feature,weight
521,O,+1:word.lower():buah,0.403499
522,O,word[-3:]:lah,0.402797
523,O,word[-3:]:udi,0.402579
524,O,"word[-3:]:an,",0.402092
525,O,"word.lower():ringan,",0.402092
526,O,-1:word.lower():menyusui,0.402057
527,O,word.lower():desktop,0.402011
528,O,+1:word.lower():high,0.401954
529,O,word[-3:]:R25,0.401131
530,O,word[:3]:R25,0.401131
531,O,word.lower():r25,0.401131
532,O,word[:3]:bas,0.400628
533,O,word[-3:]:ust,0.400404
534,O,word[-3:]:050,0.399845
535,O,-1:word.lower():rambut,0.399466
536,O,word.lower():gtx1050,0.39944
537,O,word[-3:]:684,0.399251
538,O,word[:3]:100,0.399022
539,O,-1:word.lower():aksesoris,0.398159
540,O,+1:word.lower():seller,0.397899
541,O,word[-3:]:cal,0.39757
542,O,-1:word.lower():baterai,0.397209
543,O,+1:word.lower():ikan,0.396456
544,O,-1:word.lower():rompi,0.395832
545,O,word.lower():indonesia,0.395422
546,O,word.lower():2x,0.3949
547,O,word[-3:]:pan,0.394783
548,O,+1:word.lower():baru,0.394525
549,O,-1:word.lower():900,0.394143
550,O,word.lower():single,0.394115
551,O,-1:word.lower():korea,0.393855
552,O,+1:word.lower():ear,0.393346
553,O,word[:3]:Mag,0.393342
554,O,word.lower():'s,0.393309
555,O,word[-3:]:'s,0.393309
556,O,word[:3]:'s,0.393309
557,O,+1:word.lower():lte,0.393207
558,O,word.lower():shipping,0.392988
559,O,-1:word.lower():darurat,0.392534
560,O,word[-3:]:ore,0.392515
561,O,word[-3:]:0GB,0.39251
562,O,+1:word.lower():steel,0.390852
563,O,+1:word.lower():style,0.39066
564,O,word[:3]:ser,0.390584
565,O,-1:word.lower():lcd,0.390269
566,O,word[-3:]:25],0.389926
567,O,+1:word.lower():resmi,0.389917
568,O,word[-3:]:rty,0.389538
569,O,word[:3]:2PC,0.389369
570,O,-1:word.lower():remote,0.389255
571,O,+1:word.lower():hello,0.389214
572,O,word[-3:]:SET,0.3892
573,O,+1:word.lower():ampuh,0.3891
574,O,word[-3:]:nda,0.389054
575,O,+1:word.lower():digital,0.389028
576,O,word[:3]:Kor,0.388898
577,O,word[:3]:BEA,0.388869
