title,link,price_now,location,discount_price,discount_percent,img_link
MSI GP63-8RD-8750H-16GB-1TB-256GB-GTX105Ti-Win10 Black,https://www.lazada.co.id/products/msi-gp63-8rd-8750h-16gb-1tb-256gb-gtx105ti-win10-black-i562076789-s794572235.html?search=1,Rp15.785.000,DKI Jakarta,Rp17.499.000,-10%,False
V146 14 Inch Laptop Portabel Z8350 4 GB RAM 32 GB ROM Bluetooth IPS 5000 MAh Window 10 Komputer Jinjing,https://www.lazada.co.id/products/v146-14-inch-laptop-portabel-z8350-4-gb-ram-32-gb-rom-bluetooth-ips-5000-mah-window-10-komputer-jinjing-i434058706-s509023126.html?search=1,Rp3.516.000,Tiongkok,Rp4.321.000,-19%,False
ASUS X555QA - A12-9720P-4GB-1TB-RADEON R7-WIN10-15.6HD,https://www.lazada.co.id/products/asus-x555qa-a12-9720p-4gb-1tb-radeon-r7-win10-156hd-i513812587-s695220232.html?search=1,Rp5.375.000,DKI Jakarta,Rp5.775.000,-7%,False
"HP ElitePad 900G [LAPTOP 2 IN 1] INTEL ATOM Z2760  Windows 8 Ori  32 GB EMMC  RAM 2GB  LAYAR 10,1 INC TOUCHSCREEN",https://www.lazada.co.id/products/hp-elitepad-900g-laptop-2-in-1-intel-atom-z2760-windows-8-ori-32-gb-emmc-ram-2gb-layar-101-inc-touchscreen-i156427085-s177046973.html?search=1,Rp1.994.000,Jawa Timur,Rp2.559.000,-22%,False
RD 10.1 Inch Tablets PC Android 8000 mAh Battery 1+16GB HD WIFI Phablet's,https://www.lazada.co.id/products/rd-101-inch-tablets-pc-android-8000-mah-battery-116gb-hd-wifi-phablets-i433403000-s615228753.html?search=1,Rp602.100,Tiongkok,Rp878.000,-31%,False
ASUS VIVOBOOK S14 S430FN - I7 8565U- 8GB- 512GB - MX150 - 14FHD - W10 LAPTOP TERMURAH,https://www.lazada.co.id/products/asus-vivobook-s14-s430fn-i7-8565u-8gb-512gb-mx150-14fhd-w10-laptop-termurah-i504454785-s648448895.html?search=1,Rp14.729.000,DKI Jakarta,,,False
LAPTOP GAMING HP OMEN 15-CE198WM - i7-8750H 16GB 256GB GTX1060 WIN10,https://www.lazada.co.id/products/laptop-gaming-hp-omen-15-ce198wm-i7-8750h-16gb-256gb-gtx1060-win10-i509310184-s672260658.html?search=1,Rp18.699.000,Indonesia,,,False
HP PAVILION X360 11-AB128TU - N4000 4GB 500GB WIN10 11.6HD TOUCH,https://www.lazada.co.id/products/hp-pavilion-x360-11-ab128tu-n4000-4gb-500gb-win10-116hd-touch-i585222192-s826872723.html?search=1,Rp4.475.000,DKI Jakarta,Rp4.775.000,-6%,False
HP 14-cm0094AU Laptop - Gold [14 Inch/ E2-9000e/ 4GB/ 1TB/ 14 inc - No ODD/ Win 10],https://www.lazada.co.id/products/hp-14-cm0094au-laptop-gold-14-inch-e2-9000e-4gb-1tb-14-inc-no-odd-win-10-i567568104-s803642746.html?search=1,Rp3.550.000,DKI Jakarta,,,False
ASUS X540NA-GQ017 | Black | Intel N3350 | 4GB | 500GB HDD | Endless OS | 15.6 Inch | DVDRW | Laptop Untuk Pelajar,https://www.lazada.co.id/products/asus-x540na-gq017-black-intel-n3350-4gb-500gb-hdd-endless-os-156-inch-dvdrw-laptop-untuk-pelajar-i125517237-s131755369.html?search=1,Rp3.770.000,Jawa Timur,Rp4.250.000,-11%,False
